DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
Mayor's Office                ,7/19/2014,0,5
Mayor's Office                ,5/20/2017,0,6
Mayor's Office                ,6/3/2017,0,6
Mayor's Office                ,2/24/2018,0,5
Mayor's Office                ,5/19/2018,1,5
Metro Animal Services         ,8/31/2013,0,1
Metro Animal Services         ,3/1/2014,0,1
Metro Animal Services         ,6/20/2015,0,1
Metro Parks & Recreation,2/14/2015,16,67
Metro Parks & Recreation,3/12/2016,19,61
Metro Parks & Recreation,2/25/2017,12,55
Metro Parks & Recreation,10/7/2017,8,51
Metro Parks & Recreation,4/20/2019,8,40
Metro Police,3/25/2017,16,151
Metro Police,4/22/2017,18,149
Metro Police,7/1/2017,22,146
Metro Police,5/4/2019,13,97
OMB ,10/26/2013,11,28
OMB ,3/11/2017,6,19
OMB ,8/12/2017,5,19
OMB ,8/11/2018,7,16
Parking Authority of River Cty,10/12/2013,2,9
Parking Authority of River Cty,5/23/2015,0,9
Parking Authority of River Cty,12/3/2016,1,5
Parking Authority of River Cty,1/14/2017,1,5
Parking Authority of River Cty,1/26/2019,3,5
Public Health & Wellness,10/22/2016,0,3
Belle of Louisville           ,1/18/2014,0,1
Belle of Louisville           ,4/12/2014,0,1
Belle of Louisville           ,7/19/2014,0,2
Civic Innovation & Technology,4/26/2014,4,9
Civic Innovation & Technology,5/10/2014,4,9
Civic Innovation & Technology,10/10/2015,3,8
Civic Innovation & Technology,3/10/2018,1,6
Civic Innovation & Technology,7/14/2018,1,5
Codes & Regulations,2/1/2014,3,23
Codes & Regulations,9/13/2014,5,20
Codes & Regulations,1/13/2018,6,21
Codes & Regulations,11/17/2018,9,21
Codes & Regulations,12/1/2018,11,20
Codes & Regulations,5/18/2019,8,20
Community Services,9/13/2014,2,12
Community Services,12/17/2016,2,8
Community Services,1/13/2018,2,9
Community Services,6/1/2019,2,8
Coroner                       ,5/10/2014,0,5
Coroner                       ,1/31/2015,0,5
Coroner                       ,1/27/2018,0,6
Corrections                   ,11/8/2014,0,1
Corrections                   ,11/21/2015,0,1
Corrections                   ,4/7/2018,0,2
County Attorney               ,3/29/2014,0,7
County Attorney               ,9/26/2015,0,4
County Attorney               ,3/11/2017,0,3
Develop Louisville,2/28/2015,4,12
Develop Louisville,7/2/2016,2,11
Develop Louisville,2/25/2017,2,9
Develop Louisville,4/22/2017,2,9
Develop Louisville,7/15/2017,1,7
Develop Louisville,5/19/2018,4,7
Develop Louisville,4/6/2019,3,6
Economic Development ,7/2/2016,0,2
Economic Development ,8/26/2017,0,2
Economic Development ,8/11/2018,0,1
Economic Development ,12/15/2018,0,1
Emergency Mgt Agency/MetroSafe,9/12/2015,5,21
Emergency Mgt Agency/MetroSafe,4/23/2016,4,20
Emergency Mgt Agency/MetroSafe,2/10/2018,1,13
Emergency Mgt Agency/MetroSafe,12/1/2018,1,12
Fire & Rescue                 ,8/16/2014,19,146
Fire & Rescue                 ,10/24/2015,17,118
Fire & Rescue                 ,1/30/2016,16,115
Fire & Rescue                 ,5/21/2016,17,112
Fire & Rescue                 ,9/22/2018,7,62
Fleet & Facilities,9/13/2014,8,29
Fleet & Facilities,9/12/2015,9,28
Fleet & Facilities,9/23/2017,5,24
Fleet & Facilities,12/1/2018,5,21
Fleet & Facilities,5/18/2019,5,19
Human Relations Commission    ,9/14/2013,0,4
Human Relations Commission    ,9/27/2014,1,5
Human Relations Commission    ,1/17/2015,0,5
Human Relations Commission    ,3/14/2015,0,5
Human Relations Commission    ,6/20/2015,0,5
Human Relations Commission    ,10/22/2016,0,3
Human Relations Commission    ,6/3/2017,0,3
Human Relations Commission    ,6/17/2017,0,3
Human Relations Commission    ,2/23/2019,0,3
Human Resources,11/9/2013,0,7
Human Resources,10/25/2014,1,5
Human Resources,5/23/2015,0,5
Human Resources,11/21/2015,0,4
Human Resources,1/16/2016,0,3
Human Resources,2/27/2016,1,3
Human Resources,9/24/2016,1,2
Human Resources,3/9/2019,2,3
Kentuckiana Works Foundation,8/31/2013,0,2
Kentuckiana Works Foundation,3/1/2014,0,2
Kentuckiana Works Foundation,12/31/2016,0,1
Kentuckiana Works Foundation,3/25/2017,0,1
Kentuckiana Works Foundation,5/6/2017,0,1
Kentuckiana Works Foundation,5/5/2018,0,1
Kentuckiana Works Foundation,12/15/2018,0,2
Library,9/14/2013,17,76
Library,8/16/2014,11,70
Library,9/27/2014,10,69
Library,6/20/2015,12,66
Library,6/17/2017,5,54
Library,9/22/2018,10,48
Louisville Metro Council      ,11/9/2013,2,14
Louisville Metro Council      ,10/25/2014,3,13
Louisville Metro Council      ,5/23/2015,2,15
Louisville Metro Council      ,1/16/2016,3,14
Louisville Metro Council      ,1/14/2017,2,12
Louisville Metro Council      ,10/7/2017,1,12
Louisville Metro Council      ,3/9/2019,1,7
Louisville Metro EMS,9/13/2014,0,6
Louisville Metro EMS,12/17/2016,0,4
Louisville Metro EMS,1/13/2018,0,4
Louisville Metro EMS,10/6/2018,0,4
Louisville Metro EMS,1/26/2019,0,4
Louisville Metro EMS,6/1/2019,0,4
Mayor's Office                ,1/4/2014,1,5
Mayor's Office                ,6/7/2014,0,5
Mayor's Office                ,7/5/2014,0,5
Mayor's Office                ,6/29/2019,1,5
Metro Animal Services         ,10/10/2015,0,1
Metro Animal Services         ,2/13/2016,0,1
Metro Animal Services         ,1/27/2018,0,1
Metro Animal Services         ,1/12/2019,0,1
Metro Parks & Recreation,8/16/2014,20,76
Metro Parks & Recreation,10/24/2015,17,64
Metro Parks & Recreation,1/30/2016,19,64
Metro Parks & Recreation,5/21/2016,15,60
Metro Parks & Recreation,9/22/2018,7,42
Metro Police,5/10/2014,15,234
Metro Police,10/10/2015,22,187
Metro Police,4/23/2016,22,165
Metro Police,1/27/2018,25,112
Metro Police,1/12/2019,20,101
OMB ,11/23/2013,11,27
OMB ,12/7/2013,11,27
OMB ,7/5/2014,6,25
OMB ,2/27/2016,5,23
OMB ,1/26/2019,7,16
Parking Authority of River Cty,3/15/2014,1,9
Parking Authority of River Cty,1/3/2015,2,9
Parking Authority of River Cty,3/26/2016,2,7
Parking Authority of River Cty,10/21/2017,2,5
Parking Authority of River Cty,3/10/2018,0,4
Parking Authority of River Cty,4/20/2019,2,5
Public Health & Wellness,9/26/2015,0,2
PW&A ,2/1/2014,27,91
PW&A ,12/19/2015,25,74
Belle of Louisville           ,7/16/2016,0,1
Belle of Louisville           ,7/30/2016,0,1
Belle of Louisville           ,9/24/2016,0,1
Belle of Louisville           ,8/25/2018,0,1
Civic Innovation & Technology,2/27/2016,3,8
Civic Innovation & Technology,4/9/2016,4,8
Civic Innovation & Technology,5/7/2016,4,8
Civic Innovation & Technology,1/13/2018,1,6
Civic Innovation & Technology,7/13/2019,1,4
Civic Innovation & Technology,7/27/2019,1,4
Codes & Regulations,7/18/2015,6,22
Codes & Regulations,8/1/2015,6,21
Codes & Regulations,11/7/2015,6,22
Codes & Regulations,2/25/2017,7,23
Community Services,3/29/2014,3,12
Community Services,5/10/2014,2,12
Community Services,8/15/2015,2,10
Community Services,10/10/2015,2,10
Community Services,4/23/2016,1,8
Community Services,10/8/2016,2,8
Community Services,10/21/2017,2,10
Community Services,6/30/2018,1,9
Coroner                       ,3/15/2014,0,5
Corrections                   ,10/26/2013,0,1
Corrections                   ,7/19/2014,0,1
Corrections                   ,9/27/2014,0,1
Corrections                   ,1/17/2015,0,1
Corrections                   ,12/16/2017,0,1
Corrections                   ,6/16/2018,1,2
Corrections                   ,6/29/2019,0,2
County Attorney               ,11/23/2013,0,7
County Attorney               ,12/19/2015,0,4
County Attorney               ,11/5/2016,0,3
County Attorney               ,5/19/2018,0,4
County Attorney               ,4/6/2019,0,4
Develop Louisville,7/5/2014,6,16
Develop Louisville,10/6/2018,4,6
Develop Louisville,12/1/2018,4,6
Develop Louisville,2/9/2019,4,6
Economic Development ,10/26/2013,0,6
Economic Development ,7/19/2014,1,4
Economic Development ,9/27/2014,1,4
Economic Development ,1/17/2015,1,4
Economic Development ,12/16/2017,0,2
Economic Development ,2/10/2018,0,1
Economic Development ,6/16/2018,0,1
Economic Development ,2/23/2019,0,1
Economic Development ,6/29/2019,0,1
Emergency Mgt Agency/MetroSafe,11/8/2014,3,22
Emergency Mgt Agency/MetroSafe,6/4/2016,3,20
Emergency Mgt Agency/MetroSafe,9/10/2016,3,19
Emergency Mgt Agency/MetroSafe,2/11/2017,4,18
Emergency Mgt Agency/MetroSafe,7/29/2017,3,17
Emergency Mgt Agency/MetroSafe,10/20/2018,2,13
Emergency Mgt Agency/MetroSafe,3/9/2019,2,12
Fire & Rescue                 ,12/6/2014,21,144
Fire & Rescue                 ,1/16/2016,16,115
Fire & Rescue                 ,2/27/2016,15,115
Fire & Rescue                 ,4/9/2016,17,115
Fire & Rescue                 ,5/7/2016,19,114
Fire & Rescue                 ,1/13/2018,11,69
Fire & Rescue                 ,7/27/2019,5,58
Fleet & Facilities,4/9/2016,12,29
Fleet & Facilities,7/15/2017,9,25
Fleet & Facilities,7/27/2019,5,19
Human Relations Commission    ,7/30/2016,0,3
Human Relations Commission    ,11/5/2016,0,3
Human Relations Commission    ,12/30/2017,0,3
Human Relations Commission    ,11/3/2018,0,3
Human Relations Commission    ,12/15/2018,0,3
Human Resources,4/12/2014,0,6
Human Resources,8/16/2014,1,5
Human Resources,4/25/2015,0,5
Human Resources,4/8/2017,0,4
Human Resources,6/3/2017,0,4
Kentuckiana Works Foundation,9/14/2013,0,2
Kentuckiana Works Foundation,10/12/2013,0,2
Kentuckiana Works Foundation,1/18/2014,0,2
Kentuckiana Works Foundation,2/15/2014,0,2
Kentuckiana Works Foundation,4/11/2015,0,2
Kentuckiana Works Foundation,1/28/2017,0,1
Kentuckiana Works Foundation,6/3/2017,0,1
Kentuckiana Works Foundation,1/27/2018,0,1
Kentuckiana Works Foundation,12/29/2018,0,2
Library,11/9/2013,20,75
Library,5/23/2015,13,66
Library,8/26/2017,6,53
Library,8/11/2018,12,49
Louisville Metro Council      ,1/4/2014,2,14
Louisville Metro Council      ,4/12/2014,3,14
Louisville Metro Council      ,8/16/2014,2,13
Louisville Metro Council      ,4/25/2015,2,15
Louisville Metro Council      ,4/8/2017,1,12
Louisville Metro Council      ,9/22/2018,1,8
Louisville Metro Council      ,5/18/2019,1,7
Louisville Metro EMS,3/29/2014,0,6
Louisville Metro EMS,8/15/2015,0,5
Louisville Metro EMS,10/10/2015,0,5
Louisville Metro EMS,8/13/2016,0,5
Louisville Metro EMS,10/8/2016,0,5
Louisville Metro EMS,6/30/2018,0,4
Mayor's Office                ,2/14/2015,0,4
Mayor's Office                ,4/22/2017,0,6
Mayor's Office                ,10/7/2017,0,5
Mayor's Office                ,12/2/2017,0,4
Mayor's Office                ,6/15/2019,1,5
Metro Animal Services         ,2/1/2014,0,1
Metro Animal Services         ,6/21/2014,0,1
Metro Animal Services         ,8/27/2016,0,1
Metro Animal Services         ,6/17/2017,0,1
Metro Animal Services         ,5/5/2018,0,1
Metro Animal Services         ,6/1/2019,0,1
Metro Parks & Recreation,12/7/2013,19,79
Metro Parks & Recreation,5/9/2015,16,68
Metro Parks & Recreation,2/27/2016,19,63
Metro Parks & Recreation,5/20/2017,10,54
Metro Parks & Recreation,2/24/2018,6,48
Metro Police,11/23/2013,18,244
Metro Police,2/1/2014,13,239
Metro Police,6/21/2014,13,230
Metro Police,8/27/2016,19,150
Metro Police,11/5/2016,19,148
Metro Police,4/21/2018,22,112
Metro Police,5/5/2018,24,112
Belle of Louisville           ,10/26/2013,1,3
Belle of Louisville           ,1/17/2015,0,1
Belle of Louisville           ,2/28/2015,0,1
Belle of Louisville           ,8/29/2015,0,3
Civic Innovation & Technology,4/7/2018,1,6
Codes & Regulations,10/26/2013,3,25
Codes & Regulations,11/22/2014,6,20
Codes & Regulations,3/11/2017,6,23
Codes & Regulations,8/11/2018,9,20
Community Services,2/1/2014,3,12
Community Services,12/20/2014,3,11
Community Services,11/21/2015,1,8
Community Services,11/5/2016,2,8
Community Services,11/4/2017,2,10
Community Services,4/21/2018,1,9
Coroner                       ,9/28/2013,0,6
Coroner                       ,4/11/2015,0,5
Coroner                       ,9/12/2015,0,4
Coroner                       ,3/26/2016,0,2
Coroner                       ,6/18/2016,0,2
Coroner                       ,6/29/2019,0,7
Corrections                   ,7/15/2017,0,1
County Attorney               ,1/31/2015,0,6
County Attorney               ,4/23/2016,0,4
County Attorney               ,8/13/2016,0,4
County Attorney               ,9/10/2016,0,4
Develop Louisville,12/5/2015,4,12
Develop Louisville,3/25/2017,3,9
Economic Development ,4/12/2014,2,5
Economic Development ,7/5/2014,2,5
Economic Development ,11/7/2015,0,2
Economic Development ,10/22/2016,0,2
Economic Development ,4/8/2017,0,2
Economic Development ,12/1/2018,0,1
Emergency Mgt Agency/MetroSafe,2/1/2014,4,24
Emergency Mgt Agency/MetroSafe,10/25/2014,3,22
Emergency Mgt Agency/MetroSafe,3/14/2015,3,22
Emergency Mgt Agency/MetroSafe,7/4/2015,5,21
Emergency Mgt Agency/MetroSafe,5/5/2018,1,13
Fire & Rescue                 ,4/22/2017,18,89
Fire & Rescue                 ,7/1/2017,18,88
Fire & Rescue                 ,12/2/2017,14,74
Fire & Rescue                 ,3/23/2019,6,58
Fleet & Facilities,9/27/2014,8,29
Fleet & Facilities,11/22/2014,8,29
Fleet & Facilities,10/24/2015,10,28
Fleet & Facilities,6/4/2016,12,29
Fleet & Facilities,2/24/2018,6,23
Fleet & Facilities,6/2/2018,6,23
Human Relations Commission    ,3/12/2016,1,4
Human Relations Commission    ,8/26/2017,0,3
Human Relations Commission    ,6/16/2018,0,3
Human Resources,2/28/2015,0,5
Human Resources,8/29/2015,0,4
Kentuckiana Works Foundation,11/9/2013,0,2
Kentuckiana Works Foundation,7/28/2018,0,1
Library,2/1/2014,14,72
Library,1/3/2015,9,68
Library,8/1/2015,11,64
Library,2/13/2016,12,59
Library,4/21/2018,11,50
Library,11/3/2018,10,48
Louisville Metro Council      ,3/1/2014,2,14
Louisville Metro Council      ,6/6/2015,2,15
Louisville Metro Council      ,6/20/2015,2,15
Louisville Metro Council      ,9/12/2015,3,15
Louisville Metro Council      ,12/5/2015,3,14
Louisville Metro Council      ,8/12/2017,2,13
Louisville Metro Council      ,6/2/2018,1,9
Louisville Metro EMS,11/23/2013,0,6
Louisville Metro EMS,12/21/2013,0,6
Louisville Metro EMS,1/18/2014,0,6
Louisville Metro EMS,2/1/2014,0,6
Louisville Metro EMS,12/20/2014,0,6
Louisville Metro EMS,11/21/2015,0,5
Louisville Metro EMS,11/5/2016,0,5
Louisville Metro EMS,5/6/2017,1,4
Louisville Metro EMS,11/4/2017,0,3
Louisville Metro EMS,12/29/2018,0,4
Mayor's Office                ,3/1/2014,1,5
Mayor's Office                ,4/26/2014,1,5
Mayor's Office                ,8/2/2014,0,5
Mayor's Office                ,12/6/2014,0,5
Mayor's Office                ,6/6/2015,0,4
Mayor's Office                ,12/5/2015,0,6
Mayor's Office                ,1/16/2016,0,6
Mayor's Office                ,5/7/2016,0,6
Mayor's Office                ,6/17/2017,0,6
Mayor's Office                ,3/24/2018,0,5
Mayor's Office                ,7/14/2018,1,5
Mayor's Office                ,9/8/2018,1,5
Mayor's Office                ,12/15/2018,1,5
Metro Animal Services         ,7/19/2014,0,1
Metro Animal Services         ,9/27/2014,0,1
Metro Animal Services         ,10/24/2015,0,1
Metro Animal Services         ,9/10/2016,0,1
Metro Animal Services         ,10/21/2017,0,1
Metro Animal Services         ,2/24/2018,0,1
Metro Parks & Recreation,7/4/2015,17,67
Metro Parks & Recreation,8/27/2016,16,59
Metro Parks & Recreation,11/18/2017,8,48
Metro Police,12/7/2013,17,244
Metro Police,5/24/2014,16,232
Metro Police,11/8/2014,16,214
Metro Police,12/31/2016,18,146
Metro Police,2/11/2017,18,146
Metro Police,9/23/2017,22,122
Metro Police,3/10/2018,23,113
OMB ,12/21/2013,10,27
OMB ,1/3/2015,8,24
OMB ,8/1/2015,6,23
OMB ,11/21/2015,4,23
OMB ,2/13/2016,6,23
OMB ,1/13/2018,6,17
Parking Authority of River Cty,7/15/2017,1,5
Public Health & Wellness,6/21/2014,0,2
Public Health & Wellness,1/14/2017,0,4
PW&A ,4/25/2015,16,81
PW&A ,7/4/2015,16,80
Waterfront Development Corp,2/1/2014,2,6
Waterfront Development Corp,10/25/2014,3,6
Waterfront Development Corp,11/19/2016,2,6
Waterfront Development Corp,12/3/2016,2,6
Youth Detention Services      ,11/22/2014,1,6
Youth Detention Services      ,5/23/2015,0,3
Youth Detention Services      ,3/11/2017,1,4
Youth Detention Services      ,8/11/2018,1,2
Belle of Louisville           ,4/26/2014,0,1
Belle of Louisville           ,7/14/2018,0,1
Civic Innovation & Technology,3/29/2014,4,9
Civic Innovation & Technology,3/14/2015,4,9
Civic Innovation & Technology,7/4/2015,3,8
Civic Innovation & Technology,7/18/2015,3,8
Codes & Regulations,12/7/2013,3,24
Codes & Regulations,10/11/2014,5,20
Codes & Regulations,3/12/2016,5,21
Codes & Regulations,5/20/2017,8,23
Codes & Regulations,10/20/2018,10,22
Community Services,11/23/2013,6,18
Community Services,4/9/2016,1,8
Community Services,7/16/2016,1,8
Community Services,4/20/2019,2,8
Community Services,7/13/2019,2,8
Community Services,7/27/2019,2,7
Coroner                       ,9/27/2014,0,5
Coroner                       ,9/26/2015,0,4
Coroner                       ,10/24/2015,0,4
Coroner                       ,5/21/2016,0,2
Coroner                       ,6/17/2017,0,4
Corrections                   ,10/25/2014,0,1
Corrections                   ,12/6/2014,0,1
Corrections                   ,7/2/2016,0,1
Corrections                   ,10/7/2017,0,1
Corrections                   ,12/15/2018,1,2
Corrections                   ,4/6/2019,1,2
County Attorney               ,12/21/2013,0,7
County Attorney               ,2/10/2018,0,3
County Attorney               ,3/10/2018,0,3
Develop Louisville,8/29/2015,3,12
Develop Louisville,9/26/2015,2,12
Develop Louisville,8/13/2016,2,10
Develop Louisville,8/12/2017,1,7
Economic Development ,10/11/2014,1,4
Economic Development ,4/9/2016,0,2
Economic Development ,7/30/2016,0,2
Economic Development ,7/15/2017,0,2
Emergency Mgt Agency/MetroSafe,1/18/2014,5,24
Emergency Mgt Agency/MetroSafe,4/12/2014,5,23
Emergency Mgt Agency/MetroSafe,8/16/2014,4,22
Emergency Mgt Agency/MetroSafe,4/8/2017,4,17
Fire & Rescue                 ,10/26/2013,25,159
Fire & Rescue                 ,1/4/2014,26,159
Fire & Rescue                 ,10/21/2017,15,76
Fleet & Facilities,5/24/2014,9,29
Fleet & Facilities,12/16/2017,8,23
Fleet & Facilities,3/10/2018,6,23
Fleet & Facilities,2/9/2019,6,20
Fleet & Facilities,6/15/2019,6,19
Fleet & Facilities,6/29/2019,5,19
Human Relations Commission    ,10/26/2013,0,4
Human Relations Commission    ,1/4/2014,1,4
Human Relations Commission    ,8/15/2015,0,5
Human Relations Commission    ,10/10/2015,1,5
Human Relations Commission    ,10/21/2017,0,3
Human Resources,5/9/2015,0,5
Human Resources,8/13/2016,1,2
Human Resources,3/25/2017,0,3
Human Resources,2/24/2018,1,4
Kentuckiana Works Foundation,10/11/2014,0,2
Kentuckiana Works Foundation,3/12/2016,0,1
Kentuckiana Works Foundation,6/4/2016,0,1
Kentuckiana Works Foundation,10/20/2018,0,2
Library,12/21/2013,15,74
Library,12/3/2016,10,57
Library,1/27/2018,8,51
Louisville Metro Council      ,11/8/2014,3,13
Louisville Metro Council      ,5/7/2016,3,14
Louisville Metro Council      ,2/11/2017,2,12
Louisville Metro EMS,6/21/2014,0,6
Louisville Metro EMS,4/9/2016,0,5
Louisville Metro EMS,4/20/2019,0,4
Louisville Metro EMS,7/13/2019,0,4
Mayor's Office                ,1/17/2015,0,4
Mayor's Office                ,1/13/2018,0,4
Mayor's Office                ,6/2/2018,1,5
Mayor's Office                ,5/4/2019,2,5
Mayor's Office                ,6/1/2019,1,5
Metro Animal Services         ,9/28/2013,0,1
Metro Animal Services         ,4/11/2015,0,1
Metro Animal Services         ,8/29/2015,0,1
Metro Animal Services         ,9/9/2017,0,1
Metro Parks & Recreation,9/14/2013,25,82
Metro Parks & Recreation,10/12/2013,19,81
Metro Parks & Recreation,11/7/2015,18,64
Metro Parks & Recreation,12/3/2016,14,56
Metro Parks & Recreation,6/3/2017,9,55
Metro Parks & Recreation,3/10/2018,7,48
Metro Parks & Recreation,7/28/2018,9,44
Metro Parks & Recreation,2/9/2019,6,40
Metro Police,3/29/2014,14,237
Metro Police,9/27/2014,16,215
Metro Police,9/26/2015,22,187
Metro Police,10/24/2015,23,185
Metro Police,1/28/2017,18,146
OMB ,2/1/2014,8,27
OMB ,9/13/2014,5,24
OMB ,3/25/2017,6,18
OMB ,7/13/2019,7,15
Parking Authority of River Cty,12/17/2016,1,5
Parking Authority of River Cty,7/1/2017,1,5
Parking Authority of River Cty,5/5/2018,1,4
Parking Authority of River Cty,12/1/2018,2,5
Parking Authority of River Cty,5/18/2019,2,5
Public Health & Wellness,12/6/2014,0,2
Public Health & Wellness,4/11/2015,0,2
Public Health & Wellness,11/21/2015,0,3
Public Health & Wellness,7/2/2016,0,3
Public Health & Wellness,7/16/2016,0,4
Public Health & Wellness,7/30/2016,0,3
Public Health & Wellness,7/15/2017,1,4
Public Health & Wellness,11/4/2017,1,4
Public Health & Wellness,12/30/2017,1,3
Public Health & Wellness,1/12/2019,1,4
Public Health & Wellness,4/6/2019,1,3
PW&A ,11/23/2013,25,92
PW&A ,7/16/2016,27,71
PW&A ,9/24/2016,24,70
PW&A ,11/5/2016,23,69
PW&A ,11/4/2017,16,57
PW&A ,10/6/2018,14,49
PW&A ,4/6/2019,14,47
Waterfront Development Corp,10/12/2013,1,6
Waterfront Development Corp,5/10/2014,1,6
Waterfront Development Corp,4/11/2015,2,6
Belle of Louisville           ,9/28/2013,1,3
Belle of Louisville           ,6/7/2014,0,2
Belle of Louisville           ,10/22/2016,0,1
Civic Innovation & Technology,11/22/2014,4,9
Civic Innovation & Technology,12/20/2014,4,9
Civic Innovation & Technology,2/28/2015,4,9
Civic Innovation & Technology,10/8/2016,3,7
Civic Innovation & Technology,5/6/2017,1,6
Codes & Regulations,6/21/2014,5,21
Codes & Regulations,8/2/2014,5,21
Codes & Regulations,12/6/2014,5,20
Codes & Regulations,7/2/2016,6,21
Codes & Regulations,3/24/2018,8,23
Codes & Regulations,12/15/2018,11,20
Codes & Regulations,4/6/2019,8,19
Community Services,6/21/2014,2,12
Community Services,12/6/2014,2,11
Community Services,7/2/2016,1,8
Community Services,7/30/2016,1,8
Community Services,4/6/2019,2,8
Coroner                       ,2/28/2015,0,5
Coroner                       ,8/15/2015,0,3
Coroner                       ,10/8/2016,0,3
Coroner                       ,11/18/2017,0,6
Coroner                       ,8/10/2019,0,7
Corrections                   ,5/24/2014,0,1
Corrections                   ,12/5/2015,0,1
Corrections                   ,3/12/2016,0,1
Corrections                   ,7/16/2016,0,1
Corrections                   ,7/30/2016,0,1
County Attorney               ,1/4/2014,0,7
County Attorney               ,10/25/2014,0,6
County Attorney               ,4/25/2015,0,6
County Attorney               ,7/4/2015,0,5
County Attorney               ,10/7/2017,0,3
Develop Louisville,2/13/2016,3,11
Develop Louisville,10/22/2016,2,11
Develop Louisville,1/13/2018,2,6
Develop Louisville,2/23/2019,3,6
Develop Louisville,6/1/2019,2,5
Economic Development ,2/1/2014,3,5
Economic Development ,7/4/2015,0,3
Economic Development ,12/17/2016,0,2
Economic Development ,10/7/2017,0,2
Emergency Mgt Agency/MetroSafe,12/6/2014,3,22
Emergency Mgt Agency/MetroSafe,7/2/2016,3,20
Emergency Mgt Agency/MetroSafe,8/13/2016,2,20
Emergency Mgt Agency/MetroSafe,7/1/2017,3,17
Emergency Mgt Agency/MetroSafe,5/4/2019,2,13
Emergency Mgt Agency/MetroSafe,6/15/2019,2,13
Fire & Rescue                 ,8/30/2014,20,146
Fire & Rescue                 ,6/6/2015,25,138
Fire & Rescue                 ,3/12/2016,16,115
Fire & Rescue                 ,7/16/2016,17,111
Fire & Rescue                 ,2/25/2017,18,90
Fire & Rescue                 ,4/20/2019,6,58
Fleet & Facilities,10/12/2013,7,30
Fleet & Facilities,12/6/2014,8,29
Fleet & Facilities,11/7/2015,10,28
Fleet & Facilities,3/26/2016,11,28
Fleet & Facilities,12/3/2016,12,29
Fleet & Facilities,4/8/2017,13,28
Fleet & Facilities,8/26/2017,8,24
Fleet & Facilities,6/30/2018,5,23
Human Relations Commission    ,7/19/2014,2,5
Human Relations Commission    ,9/10/2016,0,3
Human Relations Commission    ,4/22/2017,0,3
Human Relations Commission    ,5/20/2017,0,3
Human Relations Commission    ,12/2/2017,0,3
Human Relations Commission    ,3/23/2019,0,3
Human Resources,4/11/2015,0,5
Human Resources,1/2/2016,0,4
Human Resources,12/31/2016,1,3
Human Resources,5/20/2017,0,4
Human Resources,6/30/2018,1,3
Kentuckiana Works Foundation,10/26/2013,0,2
Kentuckiana Works Foundation,2/1/2014,0,2
Kentuckiana Works Foundation,10/25/2014,0,2
Kentuckiana Works Foundation,5/23/2015,0,2
Kentuckiana Works Foundation,2/27/2016,0,1
Kentuckiana Works Foundation,7/29/2017,0,1
Kentuckiana Works Foundation,10/7/2017,0,1
Library,10/12/2013,17,74
Library,4/12/2014,13,72
Library,4/11/2015,13,67
Library,1/2/2016,12,60
Library,3/26/2016,9,59
Library,4/8/2017,4,54
Library,6/30/2018,12,50
Louisville Metro Council      ,3/29/2014,3,14
Louisville Metro Council      ,12/20/2014,2,13
Louisville Metro Council      ,9/10/2016,3,14
Louisville Metro Council      ,1/28/2017,2,12
Louisville Metro Council      ,5/6/2017,0,12
Louisville Metro Council      ,7/1/2017,2,12
Louisville Metro Council      ,12/2/2017,1,11
Louisville Metro Council      ,12/29/2018,1,8
Louisville Metro Council      ,3/23/2019,1,7
Louisville Metro Council      ,5/4/2019,1,7
Louisville Metro EMS,7/16/2016,0,5
Louisville Metro EMS,7/30/2016,0,5
Louisville Metro EMS,4/6/2019,0,4
Mayor's Office                ,1/18/2014,1,5
Mayor's Office                ,3/11/2017,0,6
Mayor's Office                ,8/25/2018,1,5
Metro Animal Services         ,10/12/2013,0,1
Metro Animal Services         ,3/28/2015,0,1
Metro Animal Services         ,11/7/2015,0,1
Metro Animal Services         ,12/3/2016,0,1
Metro Animal Services         ,6/30/2018,0,1
Metro Parks & Recreation,4/11/2015,16,66
Metro Parks & Recreation,1/2/2016,20,65
Metro Parks & Recreation,3/26/2016,19,61
Metro Parks & Recreation,6/30/2018,10,45
Metro Police,12/20/2014,17,212
Metro Police,10/8/2016,22,160
Metro Police,5/6/2017,17,149
Metro Police,12/29/2018,18,100
OMB ,4/11/2015,8,23
OMB ,4/9/2016,5,23
OMB ,7/30/2016,7,22
OMB ,12/31/2016,7,19
OMB ,2/24/2018,5,15
Parking Authority of River Cty,8/31/2013,3,9
Parking Authority of River Cty,3/1/2014,1,9
Parking Authority of River Cty,8/16/2014,1,9
Belle of Louisville           ,9/14/2013,1,3
Belle of Louisville           ,10/12/2013,1,3
Belle of Louisville           ,6/3/2017,0,1
Civic Innovation & Technology,10/24/2015,3,8
Civic Innovation & Technology,12/5/2015,3,8
Civic Innovation & Technology,1/30/2016,3,8
Codes & Regulations,11/23/2013,2,24
Codes & Regulations,7/5/2014,5,21
Codes & Regulations,3/26/2016,5,22
Codes & Regulations,7/15/2017,6,22
Codes & Regulations,4/21/2018,9,23
Codes & Regulations,1/26/2019,10,21
Codes & Regulations,4/20/2019,7,21
Codes & Regulations,7/27/2019,7,18
Community Services,3/15/2014,3,12
Community Services,10/11/2014,2,12
Community Services,6/4/2016,1,8
Community Services,10/20/2018,2,10
Coroner                       ,3/29/2014,0,5
Coroner                       ,3/14/2015,0,5
