DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,PARETO_TYPE,TOTAL_HOURS,TOTAL EMPLOYEE,TOTAL AVAL HOURS,LOST WORKTIME RATE
Internal Auditor              ,12/5/2015,SICK,9,6,480,0.01875
Internal Auditor              ,12/19/2015,SICK,20,6,480,0.041666
Internal Auditor              ,1/2/2016,SICK,2,6,480,0.004166
Internal Auditor              ,1/16/2016,SICK,16,6,480,0.033333
Internal Auditor              ,1/30/2016,SICK,6,6,480,0.0125
Internal Auditor              ,2/13/2016,FUNERAL,16,6,480,0.033333
Internal Auditor              ,2/13/2016,SICK,2.5,6,480,0.005208
Internal Auditor              ,2/27/2016,SICK,10,6,480,0.020833
Internal Auditor              ,3/12/2016,SICK,10,6,480,0.020833
Internal Auditor              ,7/30/2016,SICK,10,7,560,0.017857
Internal Auditor              ,8/13/2016,UNPAID ABSENCE,8,7,560,0.014285
Internal Auditor              ,8/27/2016,SICK,12.5,7,560,0.022321
Internal Auditor              ,9/10/2016,SICK,7.5,7,560,0.013392
Internal Auditor              ,10/8/2016,SICK,1,7,560,0.001785
Internal Auditor              ,11/19/2016,SICK,10.5,7,560,0.01875
Internal Auditor              ,12/3/2016,SICK,8.7,7,560,0.015535
Internal Auditor              ,12/17/2016,SICK,5.5,7,560,0.009821
Internal Auditor              ,1/14/2017,SICK,6,7,560,0.010714
Internal Auditor              ,1/28/2017,SICK,10,7,560,0.017857
Internal Auditor              ,2/11/2017,SICK,3.7,7,560,0.006607
Internal Auditor              ,2/25/2017,SICK,18,7,560,0.032142
Internal Auditor              ,3/11/2017,SICK,3.2,7,560,0.005714
Internal Auditor              ,3/25/2017,FMLA,21.9,7,560,0.039107
Internal Auditor              ,4/8/2017,FMLA,80,7,560,0.142857
Internal Auditor              ,4/22/2017,FMLA,80,7,560,0.142857
Internal Auditor              ,5/6/2017,FMLA,67.1,7,560,0.119821
Internal Auditor              ,5/20/2017,FMLA,74.4,7,560,0.132857
Internal Auditor              ,5/20/2017,FUNERAL,24,7,560,0.042857
Internal Auditor              ,6/3/2017,FMLA,68.3,7,560,0.121964
Internal Auditor              ,6/17/2017,FMLA,8,7,560,0.014285
Internal Auditor              ,6/17/2017,SICK,8,7,560,0.014285
Internal Auditor              ,7/29/2017,FUNERAL,8,7,560,0.014285
Internal Auditor              ,8/26/2017,SICK,8,7,560,0.014285
Internal Auditor              ,11/4/2017,SICK,8,8,640,0.0125
Internal Auditor              ,11/18/2017,SICK,0.7,8,640,0.001093
Internal Auditor              ,12/2/2017,SICK,2,8,640,0.003125
Internal Auditor              ,12/16/2017,SICK,13.5,8,640,0.021093
Internal Auditor              ,12/30/2017,SICK,21.5,8,640,0.033593
Internal Auditor              ,1/13/2018,SICK,16,8,640,0.025
Internal Auditor              ,2/10/2018,SICK,9.7,7,560,0.017321
Internal Auditor              ,2/24/2018,SICK,10.8,7,560,0.019285
Internal Auditor              ,3/10/2018,SICK,9.5,7,560,0.016964
Internal Auditor              ,3/24/2018,SICK,11.5,7,560,0.020535
Internal Auditor              ,4/7/2018,SICK,3,7,560,0.005357
Internal Auditor              ,4/21/2018,SICK,8,7,560,0.014285
Internal Auditor              ,6/16/2018,SICK,8,7,560,0.014285
Internal Auditor              ,6/30/2018,SICK,10,7,560,0.017857
Internal Auditor              ,7/14/2018,SICK,27,7,560,0.048214
Internal Auditor              ,7/28/2018,SICK,35,7,560,0.0625
Internal Auditor              ,8/25/2018,SICK,10.2,7,560,0.018214
Internal Auditor              ,9/22/2018,SICK,13,7,560,0.023214
Internal Auditor              ,10/6/2018,SICK,15.2,7,560,0.027142
Internal Auditor              ,10/20/2018,SICK,12,7,560,0.021428
Internal Auditor              ,11/3/2018,SICK,8,7,560,0.014285
Internal Auditor              ,11/17/2018,SICK,3,7,560,0.005357
Internal Auditor              ,12/1/2018,SICK,13.5,7,560,0.024107
Internal Auditor              ,12/15/2018,SICK,30,7,560,0.053571
Internal Auditor              ,12/29/2018,SICK,24,7,560,0.042857
Internal Auditor              ,1/26/2019,FUNERAL,8,6,480,0.016666
Internal Auditor              ,2/9/2019,SICK,9.5,6,480,0.019791
Internal Auditor              ,2/23/2019,SICK,23.5,6,480,0.048958
Internal Auditor              ,3/23/2019,SICK,6,6,480,0.0125
Internal Auditor              ,4/6/2019,SICK,1.5,6,480,0.003125
Internal Auditor              ,4/20/2019,SICK,10.5,6,480,0.021875
Internal Auditor              ,5/4/2019,SICK,3,6,480,0.00625
Internal Auditor              ,5/18/2019,SICK,27,6,480,0.05625
Internal Auditor              ,6/1/2019,SICK,5.7,6,480,0.011875
Internal Auditor              ,6/15/2019,SICK,16,6,480,0.033333
Internal Auditor              ,6/29/2019,SICK,15.9,6,480,0.033125
Kentuckiana Works Foundation,7/20/2013,SICK,13,18,1440,0.009027
Kentuckiana Works Foundation,8/3/2013,SICK,23,18,1440,0.015972
Kentuckiana Works Foundation,8/17/2013,SICK,11.5,17,1360,0.008455
Kentuckiana Works Foundation,8/31/2013,SICK,48.2,17,1360,0.035441
Kentuckiana Works Foundation,9/14/2013,SICK,56,17,1360,0.041176
Kentuckiana Works Foundation,9/28/2013,SICK,39,17,1360,0.028676
Kentuckiana Works Foundation,10/12/2013,SICK,66.5,17,1360,0.048897
Kentuckiana Works Foundation,10/26/2013,SICK,25.95,16,1280,0.020273
Kentuckiana Works Foundation,11/9/2013,SICK,62,15,1200,0.051666
Kentuckiana Works Foundation,11/23/2013,SICK,18,14,1120,0.016071
Kentuckiana Works Foundation,12/7/2013,SICK,47.5,14,1120,0.04241
Kentuckiana Works Foundation,12/21/2013,SICK,4,14,1120,0.003571
Kentuckiana Works Foundation,1/18/2014,SICK,11,14,1120,0.009821
Kentuckiana Works Foundation,2/1/2014,SICK,18,16,1280,0.014062
Kentuckiana Works Foundation,2/15/2014,SICK,22,16,1280,0.017187
Kentuckiana Works Foundation,3/1/2014,SICK,38.5,16,1280,0.030078
Kentuckiana Works Foundation,3/15/2014,SICK,17.5,16,1280,0.013671
Kentuckiana Works Foundation,3/29/2014,SICK,32.5,16,1280,0.02539
Kentuckiana Works Foundation,4/12/2014,SICK,23.5,16,1280,0.018359
Kentuckiana Works Foundation,4/12/2014,UNPAID ABSENCE,56,16,1280,0.04375
Kentuckiana Works Foundation,4/26/2014,SICK,41,16,1280,0.032031
Kentuckiana Works Foundation,5/10/2014,SICK,38.5,16,1280,0.030078
Kentuckiana Works Foundation,5/24/2014,SICK,50.5,16,1280,0.039453
Kentuckiana Works Foundation,6/7/2014,SICK,11.5,16,1280,0.008984
Kentuckiana Works Foundation,6/21/2014,SICK,43,16,1280,0.033593
Kentuckiana Works Foundation,7/5/2014,SICK,41.76,17,1360,0.030705
Kentuckiana Works Foundation,7/19/2014,FMLA,73.5,16,1280,0.057421
Kentuckiana Works Foundation,7/19/2014,FUNERAL,6,16,1280,0.004687
Kentuckiana Works Foundation,7/19/2014,SICK,7.5,16,1280,0.005859
Kentuckiana Works Foundation,8/2/2014,FUNERAL,21,16,1280,0.016406
Kentuckiana Works Foundation,8/2/2014,SICK,13.5,16,1280,0.010546
Kentuckiana Works Foundation,8/16/2014,FMLA,70.5,16,1280,0.055078
Kentuckiana Works Foundation,8/16/2014,SICK,30,16,1280,0.023437
Kentuckiana Works Foundation,8/30/2014,FMLA,80,16,1280,0.0625
Kentuckiana Works Foundation,8/30/2014,SICK,14.5,16,1280,0.011328
Kentuckiana Works Foundation,9/13/2014,FUNERAL,24,17,1360,0.017647
Kentuckiana Works Foundation,9/13/2014,SICK,8,17,1360,0.005882
Kentuckiana Works Foundation,9/27/2014,SICK,10,16,1280,0.007812
Kentuckiana Works Foundation,10/11/2014,FMLA,13.5,17,1360,0.009926
Kentuckiana Works Foundation,10/11/2014,SICK,33.9,17,1360,0.024926
Kentuckiana Works Foundation,10/25/2014,FMLA,8,17,1360,0.005882
Kentuckiana Works Foundation,10/25/2014,SICK,22.3,17,1360,0.016397
Kentuckiana Works Foundation,11/8/2014,SICK,30.5,17,1360,0.022426
Kentuckiana Works Foundation,11/8/2014,UNPAID ABSENCE,6.5,17,1360,0.004779
Kentuckiana Works Foundation,11/22/2014,FMLA,41,17,1360,0.030147
Kentuckiana Works Foundation,11/22/2014,SICK,3,17,1360,0.002205
Kentuckiana Works Foundation,11/22/2014,UNPAID ABSENCE,2.5,17,1360,0.001838
Kentuckiana Works Foundation,12/6/2014,FMLA,56,18,1440,0.038888
Kentuckiana Works Foundation,12/6/2014,SICK,17,18,1440,0.011805
Kentuckiana Works Foundation,12/6/2014,UNPAID ABSENCE,3.5,18,1440,0.00243
Kentuckiana Works Foundation,12/20/2014,FMLA,12,17,1360,0.008823
Kentuckiana Works Foundation,12/20/2014,SICK,68,17,1360,0.05
Kentuckiana Works Foundation,1/3/2015,SICK,16.5,18,1440,0.011458
Kentuckiana Works Foundation,1/17/2015,FMLA,3,17,1360,0.002205
Kentuckiana Works Foundation,1/17/2015,SICK,20,17,1360,0.014705
Kentuckiana Works Foundation,1/31/2015,SICK,25.2,19,1520,0.016578
Kentuckiana Works Foundation,2/14/2015,SICK,29,18,1440,0.020138
Kentuckiana Works Foundation,2/28/2015,FMLA,2,18,1440,0.001388
Kentuckiana Works Foundation,2/28/2015,SICK,34,18,1440,0.023611
Kentuckiana Works Foundation,3/14/2015,FMLA,3,17,1360,0.002205
Kentuckiana Works Foundation,3/14/2015,SICK,47,17,1360,0.034558
Kentuckiana Works Foundation,3/28/2015,SICK,31.5,16,1280,0.024609
Kentuckiana Works Foundation,4/11/2015,FMLA,3.5,16,1280,0.002734
Kentuckiana Works Foundation,4/11/2015,SICK,4.5,16,1280,0.003515
Kentuckiana Works Foundation,4/25/2015,FMLA,9,16,1280,0.007031
Kentuckiana Works Foundation,4/25/2015,SICK,22.7,16,1280,0.017734
Kentuckiana Works Foundation,5/9/2015,SICK,29,16,1280,0.022656
Kentuckiana Works Foundation,5/23/2015,SICK,12.5,16,1250,0.01
Kentuckiana Works Foundation,6/6/2015,SICK,7,17,1330,0.005263
Kentuckiana Works Foundation,6/20/2015,SICK,28.5,15,1170,0.024358
Kentuckiana Works Foundation,7/4/2015,SICK,3,16,1250,0.0024
Kentuckiana Works Foundation,8/1/2015,SICK,10,16,1250,0.008
Kentuckiana Works Foundation,8/15/2015,SICK,2,17,1330,0.001503
Kentuckiana Works Foundation,8/29/2015,FUNERAL,24,17,1330,0.018045
Kentuckiana Works Foundation,8/29/2015,SICK,7,17,1330,0.005263
Kentuckiana Works Foundation,9/12/2015,SICK,17.5,18,1410,0.012411
Kentuckiana Works Foundation,9/26/2015,SICK,36,18,1410,0.025531
Kentuckiana Works Foundation,10/10/2015,SICK,61.4,18,1410,0.043546
Kentuckiana Works Foundation,10/24/2015,SICK,19,19,1490,0.012751
Kentuckiana Works Foundation,11/7/2015,FUNERAL,24,18,1410,0.017021
Kentuckiana Works Foundation,11/7/2015,SICK,20.5,18,1410,0.014539
Kentuckiana Works Foundation,11/21/2015,SICK,16,18,1410,0.011347
Kentuckiana Works Foundation,12/5/2015,SICK,4.1,20,1570,0.002611
Kentuckiana Works Foundation,12/19/2015,SICK,19.4,19,1490,0.01302
Kentuckiana Works Foundation,1/2/2016,SICK,15.7,20,1570,0.01
Kentuckiana Works Foundation,1/16/2016,SICK,22,19,1490,0.014765
Kentuckiana Works Foundation,1/30/2016,SICK,4,21,1650,0.002424
Kentuckiana Works Foundation,2/13/2016,SICK,40.6,21,1650,0.024606
Kentuckiana Works Foundation,2/27/2016,SICK,24,22,1730,0.013872
Kentuckiana Works Foundation,3/12/2016,SICK,31,21,1650,0.018787
Kentuckiana Works Foundation,3/26/2016,SICK,2,21,1650,0.001212
Kentuckiana Works Foundation,4/9/2016,SICK,11,21,1650,0.006666
Kentuckiana Works Foundation,4/23/2016,SICK,11,20,1570,0.007006
Kentuckiana Works Foundation,5/7/2016,SICK,2,20,1570,0.001273
Kentuckiana Works Foundation,5/21/2016,SICK,16,20,1570,0.010191
Kentuckiana Works Foundation,6/4/2016,SICK,25.4,21,1650,0.015393
Kentuckiana Works Foundation,6/18/2016,SICK,45.5,22,1730,0.0263
Kentuckiana Works Foundation,7/16/2016,FUNERAL,8,21,1650,0.004848
Kentuckiana Works Foundation,7/30/2016,MEDICAL,40,21,1650,0.024242
Kentuckiana Works Foundation,7/30/2016,SICK,9,21,1650,0.005454
Kentuckiana Works Foundation,8/13/2016,MEDICAL,80,22,1730,0.046242
Kentuckiana Works Foundation,8/13/2016,SICK,13.5,22,1730,0.007803
Kentuckiana Works Foundation,8/27/2016,MEDICAL,80,22,1730,0.046242
Kentuckiana Works Foundation,8/27/2016,SICK,15.4,22,1730,0.008901
Kentuckiana Works Foundation,9/10/2016,MEDICAL,23.08,22,1730,0.013341
Kentuckiana Works Foundation,9/10/2016,SICK,30,22,1730,0.017341
Kentuckiana Works Foundation,9/24/2016,SICK,41.9,22,1730,0.024219
Kentuckiana Works Foundation,9/24/2016,UNPAID ABSENCE,73.22,22,1730,0.042323
Kentuckiana Works Foundation,10/8/2016,SICK,71.2,22,1730,0.041156
Kentuckiana Works Foundation,10/8/2016,UNPAID ABSENCE,48.12,22,1730,0.027815
Kentuckiana Works Foundation,10/22/2016,SICK,47,22,1730,0.027167
Kentuckiana Works Foundation,11/5/2016,FUNERAL,8,22,1730,0.004624
Kentuckiana Works Foundation,11/5/2016,SICK,17.5,22,1730,0.010115
Kentuckiana Works Foundation,11/19/2016,FUNERAL,16,22,1730,0.009248
Kentuckiana Works Foundation,11/19/2016,SICK,34,22,1730,0.019653
Kentuckiana Works Foundation,12/3/2016,SICK,29.5,22,1730,0.017052
Kentuckiana Works Foundation,12/17/2016,SICK,72.7,22,1730,0.042023
Kentuckiana Works Foundation,12/31/2016,SICK,60.9,22,1730,0.035202
Kentuckiana Works Foundation,1/14/2017,SICK,21.2,22,1730,0.012254
Kentuckiana Works Foundation,1/28/2017,SICK,4,22,1730,0.002312
Kentuckiana Works Foundation,2/11/2017,SICK,31.5,23,1810,0.017403
Kentuckiana Works Foundation,2/25/2017,SICK,50.9,23,1810,0.028121
Kentuckiana Works Foundation,3/11/2017,SICK,54.1,24,1890,0.028624
Kentuckiana Works Foundation,3/25/2017,SICK,11.2,23,1810,0.006187
Kentuckiana Works Foundation,4/8/2017,SICK,15,23,1810,0.008287
Kentuckiana Works Foundation,4/22/2017,SICK,22.4,23,1810,0.012375
Kentuckiana Works Foundation,5/6/2017,SICK,17,23,1810,0.009392
Kentuckiana Works Foundation,5/20/2017,SICK,75.2,23,1810,0.041546
Kentuckiana Works Foundation,6/3/2017,SICK,27.3,23,1810,0.015082
Kentuckiana Works Foundation,6/17/2017,SICK,13,23,1810,0.007182
Kentuckiana Works Foundation,7/1/2017,SICK,60.65,23,1810,0.033508
Kentuckiana Works Foundation,7/15/2017,SICK,15.5,23,1810,0.008563
Kentuckiana Works Foundation,7/29/2017,SICK,45.9,23,1810,0.025359
Kentuckiana Works Foundation,8/12/2017,FUNERAL,24,23,1810,0.013259
Kentuckiana Works Foundation,8/12/2017,SICK,5.5,23,1810,0.003038
Kentuckiana Works Foundation,8/26/2017,SICK,104.3,22,1730,0.060289
Kentuckiana Works Foundation,9/9/2017,FUNERAL,16,21,1650,0.009696
Kentuckiana Works Foundation,9/9/2017,SICK,68.5,21,1650,0.041515
Kentuckiana Works Foundation,9/23/2017,SICK,32.5,21,1650,0.019696
Kentuckiana Works Foundation,10/7/2017,SICK,26.2,21,1650,0.015878
Kentuckiana Works Foundation,10/21/2017,SICK,1.5,21,1650,0.000909
Kentuckiana Works Foundation,11/4/2017,JURY DUTY,4,20,1570,0.002547
Kentuckiana Works Foundation,11/4/2017,SICK,22.3,20,1570,0.014203
Kentuckiana Works Foundation,11/18/2017,SICK,18,20,1570,0.011464
Kentuckiana Works Foundation,12/2/2017,SICK,16.5,20,1570,0.010509
Kentuckiana Works Foundation,12/16/2017,SICK,31,20,1570,0.019745
Kentuckiana Works Foundation,12/30/2017,SICK,26.5,20,1570,0.016878
Kentuckiana Works Foundation,1/13/2018,SICK,24,21,1650,0.014545
Kentuckiana Works Foundation,1/27/2018,SICK,62.5,21,1650,0.037878
Kentuckiana Works Foundation,2/10/2018,SICK,45.7,20,1570,0.029108
Kentuckiana Works Foundation,2/24/2018,SICK,21.7,20,1570,0.013821
Kentuckiana Works Foundation,3/10/2018,SICK,23.3,20,1570,0.01484
Kentuckiana Works Foundation,3/24/2018,SICK,21.3,20,1570,0.013566
Kentuckiana Works Foundation,4/7/2018,SICK,10.5,20,1570,0.006687
Kentuckiana Works Foundation,4/21/2018,SICK,35.9,20,1570,0.022866
Kentuckiana Works Foundation,5/5/2018,SICK,41.4,20,1570,0.026369
Kentuckiana Works Foundation,5/19/2018,SICK,36.4,20,1570,0.023184
Kentuckiana Works Foundation,6/2/2018,FUNERAL,8,21,1650,0.004848
Kentuckiana Works Foundation,6/2/2018,SICK,24.2,21,1650,0.014666
Kentuckiana Works Foundation,6/16/2018,SICK,18.9,21,1650,0.011454
Kentuckiana Works Foundation,6/30/2018,SICK,50,21,1650,0.030303
Kentuckiana Works Foundation,7/14/2018,SICK,16,23,1810,0.008839
Kentuckiana Works Foundation,7/28/2018,SICK,6,23,1810,0.003314
Kentuckiana Works Foundation,8/11/2018,SICK,25,23,1810,0.013812
Kentuckiana Works Foundation,8/25/2018,SICK,40,24,1860,0.021505
Kentuckiana Works Foundation,8/25/2018,UNPAID ABSENCE,36,24,1860,0.019354
Kentuckiana Works Foundation,9/8/2018,FUNERAL,48,24,1860,0.025806
Kentuckiana Works Foundation,9/8/2018,JURY DUTY,16,24,1860,0.008602
Kentuckiana Works Foundation,9/8/2018,SICK,64,24,1860,0.034408
Kentuckiana Works Foundation,9/8/2018,UNPAID ABSENCE,8,24,1860,0.004301
Kentuckiana Works Foundation,9/22/2018,SICK,8,25,1940,0.004123
Kentuckiana Works Foundation,10/6/2018,SICK,31.6,25,1940,0.016288
Kentuckiana Works Foundation,10/20/2018,FUNERAL,8,25,1940,0.004123
Kentuckiana Works Foundation,10/20/2018,SICK,39.4,25,1940,0.020309
Kentuckiana Works Foundation,11/3/2018,FUNERAL,8,25,1940,0.004123
Kentuckiana Works Foundation,11/3/2018,SICK,20,25,1940,0.010309
Kentuckiana Works Foundation,11/17/2018,FUNERAL,8,25,1940,0.004123
Kentuckiana Works Foundation,11/17/2018,SICK,34.2,25,1940,0.017628
Kentuckiana Works Foundation,12/1/2018,FUNERAL,8,26,2020,0.00396
Kentuckiana Works Foundation,12/1/2018,SICK,23.5,26,2020,0.011633
Kentuckiana Works Foundation,12/15/2018,SICK,63.8,26,2020,0.031584
Kentuckiana Works Foundation,12/29/2018,SICK,12,26,2020,0.00594
Kentuckiana Works Foundation,1/12/2019,FUNERAL,16,25,1940,0.008247
Kentuckiana Works Foundation,1/12/2019,SICK,76.6,25,1940,0.039484
Kentuckiana Works Foundation,1/26/2019,FUNERAL,8,25,1940,0.004123
Kentuckiana Works Foundation,1/26/2019,SICK,17.9,25,1940,0.009226
Kentuckiana Works Foundation,2/9/2019,SICK,37.5,26,2020,0.018564
Kentuckiana Works Foundation,2/23/2019,SICK,13.8,26,2020,0.006831
Kentuckiana Works Foundation,3/9/2019,SICK,53.2,26,2020,0.026336
Kentuckiana Works Foundation,3/23/2019,FUNERAL,24,25,1940,0.012371
Kentuckiana Works Foundation,3/23/2019,SICK,50,25,1940,0.025773
Kentuckiana Works Foundation,4/6/2019,SICK,62.7,25,1940,0.032319
Kentuckiana Works Foundation,4/20/2019,SICK,14.9,25,1940,0.00768
Kentuckiana Works Foundation,5/4/2019,SICK,11.1,25,1940,0.005721
Kentuckiana Works Foundation,5/18/2019,FUNERAL,8,25,1940,0.004123
Kentuckiana Works Foundation,5/18/2019,SICK,19.5,25,1940,0.010051
Kentuckiana Works Foundation,6/1/2019,FUNERAL,8,25,1940,0.004123
Kentuckiana Works Foundation,6/1/2019,SICK,18.7,25,1940,0.009639
Kentuckiana Works Foundation,6/15/2019,FUNERAL,8,24,1860,0.004301
Kentuckiana Works Foundation,6/15/2019,SICK,33.1,24,1860,0.017795
Kentuckiana Works Foundation,6/29/2019,SICK,30.7,24,1860,0.016505
Library,7/20/2013,FMLA,153.5,290,20053,0.007654
Library,7/20/2013,FUNERAL,62.5,290,20053,0.003116
Library,7/20/2013,MILITARY,120,290,20053,0.005984
Library,7/20/2013,SICK,392.7,290,20053,0.019583
Library,8/3/2013,FMLA,172,287,19893,0.008646
Library,8/3/2013,FUNERAL,88,287,19893,0.004423
Library,8/3/2013,MILITARY,120,287,19893,0.006032
Library,8/3/2013,SICK,399.5,287,19893,0.020082
Library,8/3/2013,UNPAID ABSENCE,1.02,287,19893,0.000051
Library,8/17/2013,FMLA,162.5,282,19589,0.008295
Library,8/17/2013,MILITARY,120,282,19589,0.006125
Library,8/17/2013,SICK,397.7,282,19589,0.020302
Library,8/17/2013,WORKERS COMP,17.5,282,19589,0.000893
Library,8/31/2013,FMLA,109.5,281,19669,0.005567
Library,8/31/2013,FUNERAL,56,281,19669,0.002847
Library,8/31/2013,MILITARY,120,281,19669,0.0061
Library,8/31/2013,SICK,363,281,19669,0.018455
Library,8/31/2013,SUSPENSION,8,281,19669,0.000406
Library,8/31/2013,WORKERS COMP,80,281,19669,0.004067
Library,9/14/2013,FMLA,98,280,19589,0.005002
Library,9/14/2013,MILITARY,120,280,19589,0.006125
Library,9/14/2013,SICK,272.82,280,19589,0.013927
Library,9/14/2013,WORKERS COMP,80,280,19589,0.004083
Library,9/28/2013,FMLA,232.5,281,19639,0.011838
Library,9/28/2013,FUNERAL,8,281,19639,0.000407
Library,9/28/2013,MILITARY,120,281,19639,0.00611
Library,9/28/2013,SICK,440.04,281,19639,0.022406
Library,10/12/2013,FMLA,304,279,19437,0.01564
Library,10/12/2013,FUNERAL,33,279,19437,0.001697
Library,10/12/2013,MILITARY,20,279,19437,0.001028
Library,10/12/2013,SICK,376.1,279,19437,0.019349
Library,10/12/2013,WORKERS COMP,64,279,19437,0.003292
Library,10/26/2013,FMLA,290.2,280,19549,0.014844
Library,10/26/2013,FUNERAL,65,280,19549,0.003324
Library,10/26/2013,MEDICAL,40,280,19549,0.002046
Library,10/26/2013,MILITARY,16,280,19549,0.000818
Library,10/26/2013,SICK,298.3,280,19549,0.015259
Library,10/26/2013,WORKERS COMP,27.5,280,19549,0.001406
Library,11/9/2013,FMLA,232.9,280,19509,0.011938
Library,11/9/2013,MEDICAL,20,280,19509,0.001025
Library,11/9/2013,MILITARY,60,280,19509,0.003075
Library,11/9/2013,SICK,491.7,280,19509,0.025203
Library,11/9/2013,WORKERS COMP,27,280,19509,0.001383
Library,11/23/2013,FMLA,207.4,279,19429,0.010674
Library,11/23/2013,FUNERAL,24,279,19429,0.001235
Library,11/23/2013,MEDICAL,19,279,19429,0.000977
Library,11/23/2013,MILITARY,80,279,19429,0.004117
Library,11/23/2013,SICK,343.9,279,19429,0.0177
Library,11/23/2013,WORKERS COMP,12,279,19429,0.000617
Library,12/7/2013,FMLA,112.7,276,19330,0.00583
Library,12/7/2013,FUNERAL,8,276,19330,0.000413
Library,12/7/2013,MEDICAL,30,276,19330,0.001551
Library,12/7/2013,MILITARY,80,276,19330,0.004138
Library,12/7/2013,SICK,269.72,276,19330,0.013953
Library,12/7/2013,WORKERS COMP,3,276,19330,0.000155
Library,12/21/2013,FMLA,87,277,19410,0.004482
Library,12/21/2013,FUNERAL,20.5,277,19410,0.001056
Library,12/21/2013,MEDICAL,30,277,19410,0.001545
Library,12/21/2013,MILITARY,80,277,19410,0.004121
Library,12/21/2013,SICK,461.3,277,19410,0.023766
Library,12/21/2013,WORKERS COMP,1,277,19410,0.000051
Library,1/4/2014,FMLA,83,277,19359,0.004287
Library,1/4/2014,JURY DUTY,6,277,19359,0.000309
Library,1/4/2014,MEDICAL,15,277,19359,0.000774
Library,1/4/2014,MILITARY,80,277,19359,0.004132
Library,1/4/2014,SICK,220,277,19359,0.011364
Library,1/4/2014,UNPAID ABSENCE,32,277,19359,0.001652
Library,1/18/2014,FMLA,87,281,19729,0.004409
Library,1/18/2014,FUNERAL,8,281,19729,0.000405
Library,1/18/2014,JURY DUTY,34,281,19729,0.001723
Library,1/18/2014,MILITARY,120,281,19729,0.006082
Library,1/18/2014,SICK,256.4,281,19729,0.012996
Library,1/18/2014,UNPAID ABSENCE,80,281,19729,0.004054
Library,2/1/2014,FMLA,104.4,281,19637,0.005316
Library,2/1/2014,FUNERAL,32,281,19637,0.001629
Library,2/1/2014,JURY DUTY,44,281,19637,0.00224
Library,2/1/2014,MILITARY,80,281,19637,0.004073
Library,2/1/2014,SICK,481.1,281,19637,0.024499
Library,2/1/2014,UNPAID ABSENCE,80,281,19637,0.004073
Library,2/15/2014,FMLA,90,284,19913,0.004519
Library,2/15/2014,FUNERAL,16,284,19913,0.000803
Library,2/15/2014,JURY DUTY,12.5,284,19913,0.000627
Library,2/15/2014,MILITARY,80,284,19913,0.004017
Library,2/15/2014,SICK,524.33,284,19913,0.026331
Library,2/15/2014,UNPAID ABSENCE,80,284,19913,0.004017
Library,3/1/2014,FMLA,58.5,284,19974,0.002928
Library,3/1/2014,FUNERAL,20,284,19974,0.001001
Library,3/1/2014,JURY DUTY,8,284,19974,0.0004
Library,3/1/2014,MILITARY,80,284,19974,0.004005
Library,3/1/2014,SICK,386.6,284,19974,0.019355
Library,3/1/2014,UNPAID ABSENCE,80,284,19974,0.004005
Library,3/15/2014,FMLA,131,286,20074,0.006525
Library,3/15/2014,MEDICAL,7.5,286,20074,0.000373
Library,3/15/2014,MILITARY,80,286,20074,0.003985
Library,3/15/2014,SICK,366.2,286,20074,0.018242
Library,3/15/2014,UNPAID ABSENCE,80,286,20074,0.003985
Library,3/29/2014,FMLA,368.5,286,20034,0.018393
Library,3/29/2014,FUNERAL,5,286,20034,0.000249
Library,3/29/2014,MEDICAL,40,286,20034,0.001996
Library,3/29/2014,MILITARY,80,286,20034,0.003993
Library,3/29/2014,SICK,331.2,286,20034,0.016531
Library,3/29/2014,UNPAID ABSENCE,80,286,20034,0.003993
Library,3/29/2014,WORKERS COMP,72,286,20034,0.003593
Library,4/12/2014,FMLA,266,286,20126,0.013216
Library,4/12/2014,FUNERAL,8,286,20126,0.000397
Library,4/12/2014,MEDICAL,32,286,20126,0.001589
Library,4/12/2014,MILITARY,80,286,20126,0.003974
Library,4/12/2014,SICK,262.4,286,20126,0.013037
Library,4/12/2014,UNPAID ABSENCE,80,286,20126,0.003974
Library,4/12/2014,WORKERS COMP,80,286,20126,0.003974
Library,4/26/2014,FMLA,198,287,20146,0.009828
Library,4/26/2014,MILITARY,80,287,20146,0.003971
Library,4/26/2014,SICK,295.42,287,20146,0.014663
Library,4/26/2014,UNPAID ABSENCE,80,287,20146,0.003971
Library,4/26/2014,WORKERS COMP,80,287,20146,0.003971
Library,5/10/2014,FMLA,235.5,284,19956,0.0118
Library,5/10/2014,FUNERAL,32,284,19956,0.001603
Library,5/10/2014,MILITARY,80,284,19956,0.004008
Library,5/10/2014,SICK,139.3,284,19956,0.00698
Library,5/10/2014,UNPAID ABSENCE,80,284,19956,0.004008
Library,5/10/2014,WORKERS COMP,80,284,19956,0.004008
Library,5/24/2014,FMLA,220.7,284,19903,0.011088
Library,5/24/2014,MILITARY,80,284,19903,0.004019
Library,5/24/2014,SICK,255.7,284,19903,0.012847
Library,5/24/2014,UNPAID ABSENCE,80,284,19903,0.004019
Library,5/24/2014,WORKERS COMP,80,284,19903,0.004019
Library,6/7/2014,FMLA,128.8,283,19886,0.006476
Library,6/7/2014,MILITARY,80,283,19886,0.004022
Library,6/7/2014,SICK,158,283,19886,0.007945
Library,6/7/2014,UNPAID ABSENCE,128.2,283,19886,0.006446
